"ORIGIN_AIRPORT_ID","FL_DATE","N_FLIGHTS","N_CANCELATIONS","Description","CANC_RATE"
12892,2011 Mar,17290,213,"Los Angeles, CA: Los Angeles International",0.0123192596876807
12892,2016 Nov,17044,39,"Los Angeles, CA: Los Angeles International",0.0022881952593288
12892,2013 Sep,18402,166,"Los Angeles, CA: Los Angeles International",0.00902075861319422
12892,2010 Nov,15930,106,"Los Angeles, CA: Los Angeles International",0.0066541117388575
12892,2015 Sep,17499,104,"Los Angeles, CA: Los Angeles International",0.00594319675410023
12892,2013 Feb,16010,195,"Los Angeles, CA: Los Angeles International",0.0121798875702686
12892,2019 Aug,19816,207,"Los Angeles, CA: Los Angeles International",0.010446104158256
12892,2011 Oct,17815,181,"Los Angeles, CA: Los Angeles International",0.0101599775470109
12892,2019 Sep,17777,162,"Los Angeles, CA: Los Angeles International",0.00911289868931766
12892,2015 Dec,17045,196,"Los Angeles, CA: Los Angeles International",0.0114989733059548
12892,2010 Dec,16657,307,"Los Angeles, CA: Los Angeles International",0.018430689800084
12892,2014 Nov,17056,112,"Los Angeles, CA: Los Angeles International",0.00656660412757974
12892,2012 May,18761,115,"Los Angeles, CA: Los Angeles International",0.00612973722083045
12892,2014 Aug,19422,140,"Los Angeles, CA: Los Angeles International",0.00720832046133251
12892,2014 Oct,18199,106,"Los Angeles, CA: Los Angeles International",0.00582449585142041
12892,2016 Dec,17880,233,"Los Angeles, CA: Los Angeles International",0.0130313199105145
12892,2017 Aug,19399,264,"Los Angeles, CA: Los Angeles International",0.0136089489148925
12892,2020 Dec,10072,72,"Los Angeles, CA: Los Angeles International",0.00714853057982526
12892,2013 Nov,17996,309,"Los Angeles, CA: Los Angeles International",0.0171704823294065
12892,2010 Jul,17915,155,"Los Angeles, CA: Los Angeles International",0.00865196762489534
12892,2013 Jun,19781,215,"Los Angeles, CA: Los Angeles International",0.0108690157221576
12892,2019 Apr,17782,260,"Los Angeles, CA: Los Angeles International",0.0146215273872455
12892,2011 Jan,16391,305,"Los Angeles, CA: Los Angeles International",0.0186077725581112
12892,2018 Oct,18565,96,"Los Angeles, CA: Los Angeles International",0.00517102073794775
12892,2017 Mar,18077,215,"Los Angeles, CA: Los Angeles International",0.0118935664103557
12892,2021 Jan,9956,82,"Los Angeles, CA: Los Angeles International",0.00823623945359582
12892,2020 Apr,7275,2738,"Los Angeles, CA: Los Angeles International",0.376357388316151
12892,2011 Dec,17541,217,"Los Angeles, CA: Los Angeles International",0.0123710164756855
12892,2016 Sep,17527,71,"Los Angeles, CA: Los Angeles International",0.00405089290808467
12892,2019 Nov,17501,143,"Los Angeles, CA: Los Angeles International",0.00817096165933375
12892,2016 Mar,17304,145,"Los Angeles, CA: Los Angeles International",0.00837956541840037
12892,2015 Feb,15762,327,"Los Angeles, CA: Los Angeles International",0.0207460982108869
12892,2018 Jan,17785,217,"Los Angeles, CA: Los Angeles International",0.0122012932246275
12892,2020 Feb,16636,90,"Los Angeles, CA: Los Angeles International",0.00540995431594133
12892,2017 Oct,18397,108,"Los Angeles, CA: Los Angeles International",0.00587052236777735
12892,2015 Nov,16459,96,"Los Angeles, CA: Los Angeles International",0.00583267513214655
12892,2014 Feb,16564,391,"Los Angeles, CA: Los Angeles International",0.0236054093214199
12892,2015 Aug,19265,244,"Los Angeles, CA: Los Angeles International",0.0126654554892292
12892,2013 May,19060,132,"Los Angeles, CA: Los Angeles International",0.00692549842602309
12892,2018 Mar,18574,284,"Los Angeles, CA: Los Angeles International",0.0152901905889954
12892,2019 Jul,19891,224,"Los Angeles, CA: Los Angeles International",0.0112613744909758
12892,2012 Oct,18539,350,"Los Angeles, CA: Los Angeles International",0.0188791196936189
12892,2012 Aug,20119,156,"Los Angeles, CA: Los Angeles International",0.00775386450618818
